RNC;Cálculo da distância;Limítrofe;Precisão (%);Revocação (%);Medida-F (%);Percentual de acertos
NN4 Small 1;Euclideana;0.83;90,83;89,45;89,80;90,00
NN4 Small 1;Euclideana;0.87;86,04;85,75;85,86;86,00
NN4 Small 1;Euclideana;0.89;83,90;83,90;83,90;84,00
NN4 Small 1;Cosseno;0.305;89,30;87,28;87,68;88,00
NN4 Small 1;Cosseno;0.355;88,34;87,60;87,82;88,00
NN4 Small 1;Cosseno;0.405;83,90;83,90;83,90;84,00
Inception Resnet V1;Euclideana;1.0;85,11;80,76;81,08;82,00
Inception Resnet V1;Euclideana;1.05;86,45;82,93;83,33;84,00
Inception Resnet V1;Euclideana;1.1;83,51;81,08;81,40;82,00
Inception Resnet V1;Cosseno;0.4;74,70;63,37;60,26;66,00
Inception Resnet V1;Cosseno;0.5;85,11;80,76;81,08;82,00
Inception Resnet V1;Cosseno;0.6;83,51;81,08;81,40;82,00
VGG Faces;Euclideana;0.00028;82,50;81,40;81,64;82,00
VGG Faces;Euclideana;0.00029;77,88;78,02;77,92;78,00
VGG Faces;Euclideana;0.0003;77,34;76,81;75,96;76,00
VGG Faces;Cosseno;0.0001;82,50;81,40;81,64;82,00
VGG Faces;Cosseno;0.000105;82,50;81,40;81,64;82,00
VGG Faces;Cosseno;0.00011;77,88;78,02;77,92;78,00
